turn,object_id,object_type,state,downtime_reason,shortage_flag,missing_inputs,maintenance_event,maintenance_duration,queue_duration,cost,vibration_level,output_qualities,output_count,cycle_time,total_stock,stock_by_type,mat_id_in,mat_type_in,source_in,mat_id_out,mat_type_out,dest_out,blocked_downstream_id
1,INV_COAL,INV,,,,,,,,,,,,,,,,,,COAL108,RAW_COAL,WS2,
1,INV_COPPER,INV,,,,,,,,,,,,,,,,,,COPPER112,RAW_COPPER,WS17,
1,INV_GLASS,INV,,,,,,,,,,,,,,,,,,GLASS115,RAW_GLASS,WS9,
1,INV_RUBBER,INV,,,,,,,,,,,,,,,,,,RUBBER124,RAW_RUBBER,WS15,
1,INV_STEEL,INV,,,,,,,,,,,,,,,,,,STEEL103,COMP_STEEL,WS2,
4,WS14,WS,4,maintenance,,,,,,0,0.034754802910850244,,,,,,,,,,,,
4,WS15,WS,3,,,,,,,6,0.021931879651565372,[1.0],1,3,,,,,,,,,
4,WS16,WS,4,maintenance,,,,,,0,0.02764921871972915,,,,,,,,,,,,
4,WS17,WS,3,,,,,,,6,0.03214299942701108,[1.0],1,3,,,,,,,,,
4,WS18,WS,1,,True,"[""COMP_WHEELS"", ""COMP_CASTING""]",,,,2,0.02831448236918606,,,,,,,,,,,,
4,WS19,WS,3,,,,,,,7,0.03273510383602765,[1.0],1,3,,,,,,,,,
4,WS2,WS,2,,,,,,,8,0.03638341728143411,,,,,,,,,,,,
4,WS3,WS,1,,True,"[""COMP_CASTING""]",,,,1,0.03143243331977657,,,,,,,,,,,,
4,WS4,WS,3,,,,,,,7,0.02660202823018317,[1.0],1,3,,,,,,,,,
4,WS6,WS,3,,,,,,,6,0.031009815047626364,[1.0],1,3,,,,,,,,,
4,WS7,WS,2,,,,,,,8,0.022895473921037367,,,,,,,,,,,,
4,WS9,WS,3,,,,,,,5,0.030366435587530625,[1.0],1,3,,,,,,,,,
5,INV2,INV,,,,,,,,,,,,,,,MAT133,COMP_WIRE,WS17,MAT128,COMP_WIRE,WS16,
5,INV3,INV,,,,,,,,,,,,,,,MAT135,COMP_TIRE,WS15,MAT135,COMP_TIRE,WS12,
5,INV7,INV,,,,,,,,,,,,,,,MAT132,COMP_SEAT,WS4,,,,
5,INV8,INV,,,,,,,,,,,,,,,MAT131,COMP_WINDOW,WS9,,,,
5,WS1,WS,2,,,,,,,8,0.033954240576795275,,,,,,,,,,,,
5,WS10,WS,4,maintenance,,,maintenance_start,5,0,1,0.02941702333618259,,,,,,,,,,,,
5,WS11,WS,1,,,,,,0,1,0.021804927044976115,,,,,,,,,,,,
5,WS12,WS,1,,True,"[""COMP_TIRE"", ""COMP_CASTING""]",,,,1,0.0323923875188174,,,,,,,,,,,,
5,WS13,WS,1,,True,"[""COMP_BODY"", ""COMP_POWERTRAIN"", ""COMP_CHASSIS""]",,,,2,0.036884836996083095,,,,,,,,,,,,
5,WS14,WS,4,maintenance,,,,,,0,0.027778820461976234,,,,,,,,,,,,
5,WS15,WS,1,,,,,,0,1,0.02171097736867506,,,,,,,,,,,,
5,WS16,WS,1,,True,"[""COMP_ENGINE""]",maintenance_end,0,,0,0.021329125228808518,,,,,,,,,,,,
5,WS17,WS,1,,,,,,0,1,0.022970057736923625,,,,,,,,,,,,
5,WS18,WS,1,,True,"[""COMP_WHEELS"", ""COMP_CASTING""]",,,,2,0.031048474642659092,,,,,,,,,,,,
5,WS19,WS,1,,,,,,0,1,0.023283202989086912,,,,,,,,,,,,
5,WS2,WS,2,,,,,,,8,0.024773788310664686,,,,,,,,,,,,
5,WS3,WS,4,maintenance,,,maintenance_start,5,,1,0.024207562129195854,,,,,,,,,,,,
5,WS4,WS,4,maintenance,,,maintenance_start,5,0,1,0.02706847486390829,,,,,,,,,,,,
5,WS6,WS,1,,,,,,0,1,0.021467653994468754,,,,,,,,,,,,
5,WS7,WS,2,,,,,,,8,0.032298347073961384,,,,,,,,,,,,
5,WS9,WS,1,,,,,,0,1,0.030764061325122532,,,,,,,,,,,,
6,INV_COPPER,INV,,,,,,,,,,,,,,,,,,COPPER114,RAW_COPPER,WS17,
6,INV_GLASS,INV,,,,,,,,,,,,,,,,,,GLASS116,RAW_GLASS,WS9,
6,INV_RUBBER,INV,,,,,,,,,,,,,,,,,,RUBBER127,RAW_RUBBER,WS15,
6,WS1,WS,3,,,,,,,8,0.025014691455089392,[1.0],1,5,,,,,,,,,
6,WS10,WS,4,maintenance,,,maintenance_start,5,,0,0.024969514210715367,,,,,,,,,,,,
6,WS11,WS,2,,False,[],,,,1,0.034597975408975065,,,,,,,,,,,,
6,WS12,WS,1,,True,"[""COMP_TIRE"", ""COMP_CASTING""]",,,,1,0.03242767094159443,,,,,,,,,,,,
6,WS13,WS,1,,True,"[""COMP_BODY"", ""COMP_POWERTRAIN"", ""COMP_CHASSIS""]",,,,2,0.030570547401190088,,,,,,,,,,,,
6,WS14,WS,4,maintenance,,,,,,0,0.037038208564106626,,,,,,,,,,,,
6,WS15,WS,2,,False,[],,,,1,0.023743536564050944,,,,,,,,,,,,
6,WS16,WS,1,,True,"[""COMP_ENGINE""]",,,,2,0.03682793217588001,,,,,,,,,,,,
6,WS17,WS,1,,True,"[""RAW_RUBBER""]",,,,1,0.02707360919547107,,,,,,,,,,,,
6,WS18,WS,1,,True,"[""COMP_WHEELS"", ""COMP_CASTING""]",,,,2,0.022046388433073515,,,,,,,,,,,,
6,WS19,WS,4,maintenance,,,maintenance_start,5,,1,0.03757015363475917,,,,,,,,,,,,
6,WS2,WS,3,,,,,,,8,0.027877955925660856,[1.0],1,5,,,,,,,,,
6,WS3,WS,4,maintenance,,,,,,0,0.03516706670111906,,,,,,,,,,,,
6,WS4,WS,4,maintenance,,,maintenance_start,5,,0,0.02767986522622066,,,,,,,,,,,,
6,WS6,WS,2,,False,[],,,,1,0.030993128839232408,,,,,,,,,,,,
6,WS7,WS,3,,,,,,,8,0.03402993524506501,[1.0],1,5,,,,,,,,,
6,WS9,WS,2,,False,[],,,,1,0.020289799558108612,,,,,,,,,,,,
7,INV1,INV,,,,,,,,,,,,,,,MAT138,COMP_CASTING,WS2,MAT136,COMP_CASTING,WS18,
7,INV2,INV,,,,,,,,,,,,,,,,,,MAT133,COMP_WIRE,WS14,
7,INV7,INV,,,,,,,,,,,,,,,,,,MAT132,COMP_SEAT,WS14,
7,INV8,INV,,,,,,,,,,,,,,,,,,MAT131,COMP_WINDOW,WS14,
7,WS1,WS,1,,,,,,0,2,0.027677195990311543,,,,,,,,,,,,
7,WS10,WS,4,maintenance,,,,,,0,0.03313750277567155,,,,,,,,,,,,
7,WS11,WS,2,,,,,,,6,0.027550582366906367,,,,,,,,,,,,
7,WS12,WS,4,maintenance,,,maintenance_start,5,,1,0.037557560892482134,,,,,,,,,,,,
7,WS13,WS,1,,True,"[""COMP_BODY"", ""COMP_POWERTRAIN"", ""COMP_CHASSIS""]",,,,2,0.02898311709538927,,,,,,,,,,,,
7,WS14,WS,1,,True,"[""COMP_WINDOW""]",maintenance_end,0,,0,0.03448680109731479,,,,,,,,,,,,
7,WS15,WS,2,,,,,,,6,0.024409628278914408,,,,,,,,,,,,
7,WS16,WS,1,,True,"[""COMP_ENGINE""]",,,,2,0.03889669857890183,,,,,,,,,,,,
7,WS17,WS,1,,True,"[""RAW_RUBBER""]",,,,1,0.030739118979700768,,,,,,,,,,,,
7,WS18,WS,1,,True,"[""COMP_WHEELS""]",,,,2,0.03486940861096074,,,,,,,,,,,,
7,WS19,WS,4,maintenance,,,,,,0,0.022301743900440516,,,,,,,,,,,,
7,WS2,WS,1,,,,,,0,2,0.03336284108125792,,,,,,,,,,,,
7,WS3,WS,4,maintenance,,,,,,0,0.030788167636881837,,,,,,,,,,,,
7,WS4,WS,4,maintenance,,,,,,0,0.03370896659637189,,,,,,,,,,,,
7,WS6,WS,2,,,,,,,6,0.03749955788430706,,,,,,,,,,,,
7,WS7,WS,1,,,,,,0,2,0.03417976293263418,,,,,,,,,,,,
7,WS9,WS,2,,,,,,,5,0.020963288293605054,,,,,,,,,,,,
8,INV_COAL,INV,,,,,,,,,,,,,,,,,,COAL110,RAW_COAL,WS1,
8,INV_STEEL,INV,,,,,,,,,,,,,,,,,,STEEL105,COMP_STEEL,WS1,
8,WS1,WS,2,,False,[],,,,1,0.02551961077343643,,,,,,,,,,,,
8,WS10,WS,4,maintenance,,,,,,0,0.03553180017603382,,,,,,,,,,,,
8,WS11,WS,2,,,,,,,6,0.031453142838946936,,,,,,,,,,,,
8,WS12,WS,4,maintenance,,,,,,0,0.028041499731769164,,,,,,,,,,,,
8,WS13,WS,1,,True,"[""COMP_BODY"", ""COMP_POWERTRAIN"", ""COMP_CHASSIS""]",,,,2,0.027977540367513647,,,,,,,,,,,,
8,WS14,WS,1,,True,"[""COMP_WINDOW""]",,,,2,0.03106662917662465,,,,,,,,,,,,
8,WS15,WS,2,,,,,,,6,0.03522232023779395,,,,,,,,,,,,
8,WS16,WS,1,,True,"[""COMP_ENGINE""]",,,,2,0.023620447195370698,,,,,,,,,,,,
8,WS17,WS,1,,True,"[""RAW_RUBBER""]",,,,1,0.03133863985234564,,,,,,,,,,,,
8,WS18,WS,1,,True,"[""COMP_WHEELS""]",,,,2,0.028145050158356354,,,,,,,,,,,,
8,WS19,WS,4,maintenance,,,,,,0,0.038478767471123713,,,,,,,,,,,,
8,WS2,WS,1,,True,"[""COMP_STEEL"", ""RAW_COAL""]",,,,1,0.0363562978610623,,,,,,,,,,,,
8,WS3,WS,4,maintenance,,,,,,0,0.03784443616937791,,,,,,,,,,,,
8,WS4,WS,4,maintenance,,,,,,0,0.02209284339401707,,,,,,,,,,,,
8,WS6,WS,2,,,,,,,6,0.03317160277840608,,,,,,,,,,,,
